,id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
140843,585141,26/06/2008,Quinta,03:00:00,GO,60,264.5,INDIARA,Outras,Saída de Pista,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,2008,2,0,0,2,0,0,2,1
140877,601724,11/08/2008,Segunda,08:20:00,GO,60,51.9,ABADIANIA,Falta de atenção,Saída de Pista,Sem Vítimas,Pleno dia,Decrescente,Ceu Claro,Dupla,Curva,Rural,2008,1,0,0,0,1,0,0,1
140878,601814,07/09/2008,Domingo,10:50:00,GO,20,14.0,FORMOSA,Ultrapassagem indevida,Colisão lateral,Sem Vítimas,Pleno dia,Decrescente,Sol,Simples,Reta,Rural,2008,3,0,0,0,3,0,0,3
140883,604999,02/02/2008,Sábado,22:45:00,GO,20,205.6,POSSE,Outras,Capotamento,Com Vítimas Feridas,Plena noite,Crescente,Chuva,Simples,Reta,Rural,2008,4,0,4,0,0,0,4,1
140886,608041,03/10/2008,Sexta,13:15:00,GO,20,117.8,FLORES DE GOIAS,Falta de atenção,Saída de Pista,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Rural,2008,1,0,1,0,0,0,1,1
140913,645426,12/09/2008,Sexta,22:00:00,GO,40,3.8,VALPARAISO DE GOIAS,Outras,Atropelamento de pessoa,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Curva,Urbano,2008,4,0,1,1,2,0,2,2
140960,719064,14/04/2008,Segunda,06:10:00,GO,70,6.0,AGUAS LINDAS DE GOIAS,Falta de atenção,Atropelamento de pessoa,Com Vítimas Fatais,Pleno dia,Crescente,Ceu Claro,Simples,Reta,Urbano,2008,2,1,0,0,1,0,0,1
140969,730294,22/01/2008,Terça,13:10:00,GO,153,304.0,RIALMA,Outras,Colisão Transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Rural,2008,2,0,0,1,1,0,1,2
140972,733319,14/11/2008,Sexta,15:00:00,GO,60,191.0,GUAPO,Outras,Queda de motocicleta / bicicleta / veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Reta,Rural,2008,2,0,0,2,0,0,2,1
140976,741463,21/11/2008,Sexta,20:20:00,GO,70,4.0,AGUAS LINDAS DE GOIAS,Falta de atenção,Colisão frontal,Sem Vítimas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Urbano,2008,2,0,0,0,2,0,0,2
140983,755380,13/10/2008,Segunda,19:10:00,GO,20,7.0,FORMOSA,Velocidade incompatível,Colisão traseira,Com Vítimas Feridas,Plena noite,Crescente,Ceu Claro,Simples,Reta,Rural,2008,3,0,3,0,0,0,3,2
140990,773897,23/11/2008,Domingo,18:20:00,GO,60,59.2,ABADIANIA,Defeito na via,Saída de Pista,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Rural,2008,2,0,0,1,1,0,1,1
140995,780405,21/06/2008,Sábado,20:00:00,GO,153,503.7,GOIANIA,Velocidade incompatível,Colisão com bicicleta,Com Vítimas Fatais,Plena noite,Crescente,Ceu Claro,Dupla,Curva,Urbano,2008,2,1,0,0,0,1,0,2
140996,784051,25/08/2008,Segunda,05:30:00,GO,60,165.7,GOIANIA,Outras,Colisão traseira,Com Vítimas Feridas,Amanhecer,Crescente,Ceu Claro,Simples,Reta,Urbano,2008,2,0,1,0,0,1,1,2
141000,811819,01/11/2008,Sábado,17:00:00,GO,70,34.1,COCALZINHO DE GOIAS,Desobediência à sinalização,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Ceu Claro,Simples,Curva,Rural,2008,2,0,1,0,1,0,1,2
141011,849422,26/11/2008,Quarta,22:00:00,GO,20,84.3,VILA BOA,Outras,Colisão frontal,Com Vítimas Fatais,Plena noite,Crescente,Chuva,Simples,Curva,Rural,2008,3,1,0,1,1,0,1,2
141019,900566,25/02/2008,Segunda,10:50:00,GO,40,12.0,LUZIANIA,Outras,Atropelamento de pessoa,Com Vítimas Feridas,Pleno dia,Crescente,Ceu Claro,Dupla,Reta,Urbano,2008,2,0,0,1,1,0,1,1
